x,y
20241008122000.000000,1.09835
20241008122100.000000,1.09835
20241008122200.000000,1.09823
20241008122300.000000,1.09820
20241008122400.000000,1.09817
20241008122500.000000,1.09799
20241008122600.000000,1.09790
20241008122700.000000,1.09782
20241008122800.000000,1.09778
20241008122900.000000,1.09785
20241008123000.000000,1.09771
20241008123100.000000,1.09767
20241008123200.000000,1.09765
20241008123300.000000,1.09745
20241008123400.000000,1.09745
20241008123500.000000,1.09739
20241008123600.000000,1.09736
20241008123700.000000,1.09730
20241008123800.000000,1.09734
20241008123900.000000,1.09740
20241008124000.000000,1.09745
20241008124100.000000,1.09741
20241008124200.000000,1.09745
20241008124300.000000,1.09740
20241008124400.000000,1.09750
20241008124500.000000,1.09732
20241008124600.000000,1.09744
20241008124700.000000,1.09749
20241008124800.000000,1.09751
20241008124900.000000,1.09734
20241008125000.000000,1.09743
20241008125100.000000,1.09729
20241008125200.000000,1.09744
20241008125300.000000,1.09748
20241008125400.000000,1.09737
20241008125500.000000,1.09727
20241008125600.000000,1.09709
20241008125700.000000,1.09715
20241008125800.000000,1.09726
20241008125900.000000,1.09752
20241008130000.000000,1.09751
20241008130100.000000,1.09747
20241008130200.000000,1.09761
20241008130300.000000,1.09772
20241008130400.000000,1.09777
20241008130500.000000,1.09781
20241008130600.000000,1.09797
20241008130700.000000,1.09796
20241008130800.000000,1.09825
20241008130900.000000,1.09815
20241008131000.000000,1.09800
20241008131100.000000,1.09787
20241008131200.000000,1.09771
20241008131300.000000,1.09775
20241008131400.000000,1.09785
20241008131500.000000,1.09779
20241008131600.000000,1.09782
20241008131700.000000,1.09821
20241008131800.000000,1.09791
20241008131900.000000,1.09784
20241008132000.000000,1.09792
20241008132100.000000,1.09809
20241008132200.000000,1.09799
20241008132300.000000,1.09820
20241008132400.000000,1.09816
20241008132500.000000,1.09811
20241008132600.000000,1.09791
20241008132700.000000,1.09786
20241008132800.000000,1.09788
20241008132900.000000,1.09784
20241008133000.000000,1.09777
20241008133100.000000,1.09777
20241008133200.000000,1.09789
20241008133300.000000,1.09795
20241008133400.000000,1.09794
20241008133500.000000,1.09776
20241008133600.000000,1.09779
20241008133700.000000,1.09762
20241008133800.000000,1.09763
20241008133900.000000,1.09760
20241008134000.000000,1.09779
20241008134100.000000,1.09786
20241008134200.000000,1.09786
20241008134300.000000,1.09780
20241008134400.000000,1.09791
20241008134500.000000,1.09800
20241008134600.000000,1.09811
20241008134700.000000,1.09821
20241008134800.000000,1.09797
20241008134900.000000,1.09812
20241008135000.000000,1.09812
20241008135100.000000,1.09791
20241008135200.000000,1.09766
20241008135300.000000,1.09747
20241008135400.000000,1.09754
20241008135500.000000,1.09767
20241008135600.000000,1.09775
20241008135700.000000,1.09787
20241008135800.000000,1.09771
20241008135900.000000,1.09771
20241008140000.000000,1.09760
20241008140100.000000,1.09761
20241008140200.000000,1.09765
20241008140300.000000,1.09774
20241008140400.000000,1.09770
20241008140500.000000,1.09772
20241008140600.000000,1.09747
20241008140700.000000,1.09754
20241008140800.000000,1.09757
20241008140900.000000,1.09767
20241008141000.000000,1.09761
20241008141100.000000,1.09756
20241008141200.000000,1.09756
20241008141300.000000,1.09747
20241008141400.000000,1.09754
20241008141500.000000,1.09770
20241008141600.000000,1.09765
20241008141700.000000,1.09756
20241008141800.000000,1.09774
20241008141900.000000,1.09783
20241008142000.000000,1.09793
20241008142100.000000,1.09785
20241008142200.000000,1.09778
20241008142300.000000,1.09770
20241008142400.000000,1.09771
20241008142500.000000,1.09776
20241008142600.000000,1.09757
20241008142700.000000,1.09724
20241008142800.000000,1.09736
20241008142900.000000,1.09734
20241008143000.000000,1.09707
