x,y
584.118,1.06807562
588.132,1.06795755
590.72,1.06782931
593.246,1.0677062
597.069,1.06773159
598.285,1.06784422
599.759,1.06795684
601.358,1.0680592
605.439,1.06808456
607.545,1.0681664
608.182,1.0682842
609.215,1.06828413
612.516,1.06816098
613.785,1.06824799
618.779,1.06815547
621.664,1.06810919
624.426,1.0683498
624.448,1.06798607
624.627,1.06822684
624.631,1.06809876
627.906,1.06846742
629.37,1.06855955
633.776,1.06845169
634.52,1.0685203
636.611,1.06843039
639.489,1.06843423
640.036,1.068528
641.623,1.06849671
644.833,1.06842631
649.765,1.06840276
650.553,1.06849652
651.687,1.06856683
654.26,1.06847691
655.638,1.06849251
656.167,1.06859019
656.697,1.06868786
657.243,1.06878163
659.642,1.06873078
660.671,1.06882454
664.341,1.06886745
665.129,1.06896122
666.318,1.0689651
668.822,1.0688908
672.319,1.06891808
673.453,1.06898839
674.224,1.06908607
676.841,1.06914853
678.981,1.0691016
681.33,1.06900777
684.276,1.06905069
686.756,1.06908971
687.916,1.068992
689.076,1.06889428
691.166,1.06880437
693.335,1.06885903
696.15,1.06876909
699.633,1.06874557
701.447,1.06866348
703.273,1.06868689
704.657,1.06859307
706.105,1.06859304
707.809,1.06864381
712.569,1.06860463
714.624,1.06852253
715.154,1.06862021
715.683,1.06871788
717.771,1.06868267
718.559,1.06877644
719.329,1.06887411
719.876,1.06896788
720.888,1.06906555
721.676,1.06915931
721.845,1.06922965
724.549,1.06927257
726.169,1.06928817
727.346,1.06918655
730.262,1.06912787
731.405,1.06903407
733.236,1.06894806
735.859,1.06890112
737.304,1.06895579
739.127,1.0690339
739.674,1.06912767
740.203,1.06922535
741.474,1.06931911
743.306,1.0692331
743.704,1.06919793
746.615,1.06924866
749.304,1.06924079
751.994,1.06923292
754.186,1.06917426
756.908,1.06921328
758.178,1.06930703
759.208,1.06940079
761.537,1.06936558
764.624,1.06932253
766.008,1.06922872
766.927,1.06913101
767.846,1.0690333
769.006,1.06893559
772.268,1.06885346
773.574,1.0689394
774.12,1.06903317
774.891,1.06913084
775.231,1.0692168
776.019,1.06931057
777.031,1.06940823
779.061,1.06949416
780.073,1.06959183
783.018,1.06963475
784.882,1.06959563
786.248,1.06950573
787.037,1.0695995
788.066,1.06969325
791.136,1.06965411
793.003,1.06956029
795.111,1.06946647
797.684,1.06937654
800.274,1.0692827
803.313,1.06919667
806.316,1.06911846
808.107,1.06914968
809.733,1.06905587
812.306,1.06896594
814.414,1.06887211
817.051,1.06887597
819.865,1.06878603
820.964,1.06886416
821.752,1.06895793
822.04,1.06905561
823.797,1.06909465
827.623,1.06910238
829.153,1.06919222
831.444,1.06921953
833.284,1.06929373
835.625,1.06936402
838.021,1.06936788
839.163,1.06927407
840.806,1.06917635
842.635,1.06914505
844.685,1.06917236
845.787,1.06919578
846.075,1.06929346
846.121,1.06939115
846.668,1.06948492
850.457,1.06955518
853.58,1.06950432
856.199,1.06951208
857.97,1.06960191
860.005,1.06957842
860.683,1.06948072
861.36,1.06938302
861.796,1.06928532
862.474,1.06918762
862.91,1.06908992
863.587,1.06899221
864.264,1.06889451
864.7,1.06879681
865.378,1.06869911
865.814,1.06860141
866.491,1.06850371
867.168,1.068406
867.604,1.06830831
868.282,1.0682106
869.183,1.0681168
870.102,1.06801909
871.227,1.0679292
872.497,1.06802295
872.544,1.06812064
872.591,1.06821833
872.637,1.06831602
872.684,1.0684137
872.972,1.06851139
873.277,1.06860516
873.807,1.06870284
874.752,1.06876143
875.894,1.06866763
877.054,1.06856991
878.214,1.0684722
879.374,1.06837449
881.154,1.06830021
883.587,1.06824154
885.172,1.06826495
886.585,1.06827274
888.138,1.06824926
888.908,1.06834693
891.217,1.06837033
892.86,1.06827261
893.546,1.06833511
893.834,1.0684328
895.488,1.06844058
898.216,1.06837018
899.376,1.06827247
900.536,1.06817476
901.26,1.06817474
902.03,1.06827242
903.871,1.06834662
904.159,1.0684443
904.223,1.06853808
904.511,1.06863577
905.04,1.06873344
905.328,1.06883113
905.616,1.06892881
905.922,1.06902259
906.692,1.06912026
907.832,1.06908116
908.751,1.06898345
909.669,1.06888574
910.588,1.06878803
911.827,1.0688349
912.597,1.06893257
